codReceita,txtDescricaoReceita,modifiedMode,usuarioOperacao,matched_by,tipo_no_receita,anoExercicio_consulta
1310021103210000000000000,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,5,,tag_FMD,bruto_ou_outro,2019
1310021103210000001100000,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,5,,tag_FMD,bruto_ou_outro,2019
1310021103210000001101000,Termo de Permissão de Uso - Decreto 58.727/2019 – FMD,5,,tag_FMD,bruto_ou_outro,2019
1310021203210000000000000,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD – MULTAS E JUROS,5,,tag_FMD,multas_e_juros,2019
1310021203210000001100000,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD – MULTAS E JUROS,5,,tag_FMD,multas_e_juros,2019
1310021203210000001101000,Termo de Permissão de Uso - Decreto 58.727/2019 – FMD – Multas e Juros,5,,tag_FMD,multas_e_juros,2019
1321005101090890000000000,FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,5,,frase_completa,bruto_ou_outro,2019
1339011103000000001101000,Outorgas Provenientes de Concessões - FMD,5,,tag_FMD,bruto_ou_outro,2019
2220001101020020001101000,Alienação de Bens e Direitos Imobiliários - FMD,5,,tag_FMD,bruto_ou_outro,2019
2220001101020020001109001,Deduções Alienação de Bens e Direitos Imobiliários - FMD,5,,tag_FMD,deducao,2019
1310021103210000000000000,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,5,,tag_FMD,bruto_ou_outro,2020
1310021103210000001100000,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,5,,tag_FMD,bruto_ou_outro,2020
1310021103210000001101000,Termo de Permissão de Uso - Decreto 58.727/2019 – FMD,5,,tag_FMD,bruto_ou_outro,2020
1310021203210000000000000,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD – MULTAS E JUROS,5,,tag_FMD,multas_e_juros,2020
1310021203210000001100000,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD – MULTAS E JUROS,5,,tag_FMD,multas_e_juros,2020
1310021203210000001101000,Termo de Permissão de Uso - Decreto 58.727/2019 – FMD – Multas e Juros,5,,tag_FMD,multas_e_juros,2020
1321005101090890000000000,FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,5,,frase_completa,bruto_ou_outro,2020
1339011103000000001101000,Outorgas Provenientes de Concessões - FMD,5,,tag_FMD,bruto_ou_outro,2020
1339991101000000000000000,OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,5,,tag_FMD,bruto_ou_outro,2020
1339991101000000001100000,OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,5,,tag_FMD,bruto_ou_outro,2020
1339991101000000001101000,Outorgas Provenientes de Concessões - FMD,5,,tag_FMD,bruto_ou_outro,2020
1339991101000000001109000,"TOTAL DEDUÇÕES OUTORGA PROVENIENTES DE CONCESSÕES-FMD
",5,,tag_FMD,total_subtotal,2020
1339991101000000001109001,"Deduções de Outorgas Provenientes de Concessões - FMD
",5,,tag_FMD,deducao,2020
1339991201000000000000000,MULTAS E JUROS OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,5,,tag_FMD,multas_e_juros,2020
1339991201000000001100000,MULTAS E JUROS- OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,5,,tag_FMD,multas_e_juros,2020
1339991201000000001101000,Multas e Juros- Outorgas Provenientes de Concessões - FMD,5,,tag_FMD,multas_e_juros,2020
1748101101130000000000000,"TRANSFERÊNCIAS DE INSTITUIÇÕES PRIVADAS - FMD
",5,,tag_FMD,bruto_ou_outro,2020
1748101101130000001100000,TRANSFERÊNCIAS DE INSTITUIÇÕES PRIVADAS - FMD,5,,tag_FMD,bruto_ou_outro,2020
1748101101130000001101000,Transferências de Instituições Privadas - FMD,5,,tag_FMD,bruto_ou_outro,2020
2220001101020020001101000,Alienação de Bens e Direitos Imobiliários - FMD,5,,tag_FMD,bruto_ou_outro,2020
2220001101020020001109001,Deduções Alienação de Bens e Direitos Imobiliários - FMD,5,,tag_FMD,deducao,2020
1310021103210000000000000,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,5,,tag_FMD,bruto_ou_outro,2021
1310021103210000001100000,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,5,,tag_FMD,bruto_ou_outro,2021
1310021103210000001101000,Termo de Permissão de Uso - Decreto 58.727/2019 – FMD,5,,tag_FMD,bruto_ou_outro,2021
1310021203210000000000000,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD – MULTAS E JUROS,5,,tag_FMD,multas_e_juros,2021
1310021203210000001100000,TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD – MULTAS E JUROS,5,,tag_FMD,multas_e_juros,2021
1310021203210000001101000,Termo de Permissão de Uso - Decreto 58.727/2019 – FMD – Multas e Juros,5,,tag_FMD,multas_e_juros,2021
1321005101090890000000000,FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,5,,frase_completa,bruto_ou_outro,2021
1339011103000000001101000,Outorgas Provenientes de Concessões - FMD,5,,tag_FMD,bruto_ou_outro,2021
1339991101000000000000000,OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,5,,tag_FMD,bruto_ou_outro,2021
1339991101000000001100000,OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,5,,tag_FMD,bruto_ou_outro,2021
1339991101000000001101000,Outorgas Provenientes de Concessões - FMD,5,,tag_FMD,bruto_ou_outro,2021
